HostName,PlanetLetter,DiscoveryMethod,PlanetInSS,Updated,PlanetName,DiscoveryYear,PlaceOfDiscovery,DiscoveryFacility,Telescope,Instrument,Status
Kepler-1444,b,Transit,1,5/10/2016,Kepler-1444 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1445,b,Transit,1,5/10/2016,Kepler-1445 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1446,b,Transit,1,5/10/2016,Kepler-1446 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1447,b,Transit,1,5/10/2016,Kepler-1447 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1448,b,Transit,1,5/10/2016,Kepler-1448 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1449,b,Transit,1,5/10/2016,Kepler-1449 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-145,b,Transit,2,5/14/2014,Kepler-145 b,2013,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1450,b,Transit,1,5/10/2016,Kepler-1450 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1451,b,Transit,1,5/10/2016,Kepler-1451 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1452,b,Transit,1,5/10/2016,Kepler-1452 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1453,b,Transit,1,5/10/2016,Kepler-1453 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1454,b,Transit,1,5/10/2016,Kepler-1454 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1455,b,Transit,1,5/10/2016,Kepler-1455 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1456,b,Transit,1,5/10/2016,Kepler-1456 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1457,b,Transit,1,5/10/2016,Kepler-1457 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1458,b,Transit,1,5/10/2016,Kepler-1458 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1459,b,Transit,1,5/10/2016,Kepler-1459 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-146,b,Transit,2,5/14/2014,Kepler-146 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1460,b,Transit,1,5/10/2016,Kepler-1460 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1461,b,Transit,1,5/10/2016,Kepler-1461 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1462,b,Transit,1,5/10/2016,Kepler-1462 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1463,b,Transit,1,5/10/2016,Kepler-1463 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1464,b,Transit,2,5/10/2016,Kepler-1464 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1465,b,Transit,1,5/10/2016,Kepler-1465 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1466,b,Transit,1,5/10/2016,Kepler-1466 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1467,b,Transit,1,5/10/2016,Kepler-1467 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1468,b,Transit,2,5/10/2016,Kepler-1468 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1469,b,Transit,1,5/10/2016,Kepler-1469 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-147,b,Transit,2,5/14/2014,Kepler-147 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1470,b,Transit,1,5/10/2016,Kepler-1470 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1471,b,Transit,1,5/10/2016,Kepler-1471 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1472,b,Transit,1,5/10/2016,Kepler-1472 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1473,b,Transit,1,5/10/2016,Kepler-1473 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1474,b,Transit,1,5/10/2016,Kepler-1474 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1475,b,Transit,1,5/10/2016,Kepler-1475 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1476,b,Transit,1,5/10/2016,Kepler-1476 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1477,b,Transit,1,5/10/2016,Kepler-1477 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1478,b,Transit,1,5/10/2016,Kepler-1478 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1479,b,Transit,1,5/10/2016,Kepler-1479 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-148,b,Transit,3,5/14/2014,Kepler-148 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1480,b,Transit,1,5/10/2016,Kepler-1480 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1481,b,Transit,1,5/10/2016,Kepler-1481 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1482,b,Transit,1,5/10/2016,Kepler-1482 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1483,b,Transit,1,5/10/2016,Kepler-1483 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1484,b,Transit,1,5/10/2016,Kepler-1484 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1485,b,Transit,1,5/10/2016,Kepler-1485 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1486,b,Transit,1,5/10/2016,Kepler-1486 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1487,b,Transit,1,5/10/2016,Kepler-1487 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1488,b,Transit,1,5/10/2016,Kepler-1488 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1489,b,Transit,1,5/10/2016,Kepler-1489 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-149,b,Transit,3,5/14/2014,Kepler-149 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1490,b,Transit,1,5/10/2016,Kepler-1490 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1491,b,Transit,1,5/10/2016,Kepler-1491 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1492,b,Transit,1,5/10/2016,Kepler-1492 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1493,b,Transit,1,5/10/2016,Kepler-1493 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1494,b,Transit,1,5/10/2016,Kepler-1494 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1495,b,Transit,1,5/10/2016,Kepler-1495 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1496,b,Transit,1,5/10/2016,Kepler-1496 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1497,b,Transit,1,5/10/2016,Kepler-1497 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1498,b,Transit,1,5/10/2016,Kepler-1498 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1499,b,Transit,1,5/10/2016,Kepler-1499 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-15,b,Transit,1,5/14/2014,Kepler-15 b,2011,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-150,b,Transit,5,5/14/2014,Kepler-150 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1500,b,Transit,1,5/10/2016,Kepler-1500 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1501,b,Transit,1,5/10/2016,Kepler-1501 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1502,b,Transit,1,5/10/2016,Kepler-1502 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1503,b,Transit,1,5/10/2016,Kepler-1503 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1504,b,Transit,1,5/10/2016,Kepler-1504 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1505,b,Transit,1,5/10/2016,Kepler-1505 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1506,b,Transit,1,5/10/2016,Kepler-1506 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1507,b,Transit,1,5/10/2016,Kepler-1507 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1508,b,Transit,1,5/10/2016,Kepler-1508 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1509,b,Transit,1,5/10/2016,Kepler-1509 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-151,b,Transit,2,5/14/2014,Kepler-151 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1510,b,Transit,1,5/10/2016,Kepler-1510 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1511,b,Transit,1,5/10/2016,Kepler-1511 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1512,b,Transit,1,5/10/2016,Kepler-1512 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1513,b,Transit,1,5/10/2016,Kepler-1513 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1514,b,Transit,1,5/10/2016,Kepler-1514 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1515,b,Transit,1,5/10/2016,Kepler-1515 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1516,b,Transit,1,5/10/2016,Kepler-1516 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1517,b,Transit,1,5/10/2016,Kepler-1517 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1518,b,Transit,1,5/10/2016,Kepler-1518 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1519,b,Transit,1,5/10/2016,Kepler-1519 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-152,b,Transit,2,5/14/2014,Kepler-152 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1520,b,Transit,1,5/10/2016,Kepler-1520 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1521,b,Transit,1,5/10/2016,Kepler-1521 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1522,b,Transit,1,5/10/2016,Kepler-1522 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1523,b,Transit,1,5/10/2016,Kepler-1523 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1524,b,Transit,1,5/10/2016,Kepler-1524 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1525,b,Transit,1,5/10/2016,Kepler-1525 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1526,b,Transit,1,5/10/2016,Kepler-1526 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1527,b,Transit,1,5/10/2016,Kepler-1527 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1528,b,Transit,1,5/10/2016,Kepler-1528 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1529,b,Transit,1,5/10/2016,Kepler-1529 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-153,b,Transit,2,5/14/2014,Kepler-153 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1530,b,Transit,2,5/10/2016,Kepler-1530 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1531,b,Transit,1,5/10/2016,Kepler-1531 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1532,b,Transit,1,5/10/2016,Kepler-1532 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1533,b,Transit,1,5/10/2016,Kepler-1533 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1534,b,Transit,1,5/10/2016,Kepler-1534 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1535,b,Transit,1,5/10/2016,Kepler-1535 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1536,b,Transit,1,5/10/2016,Kepler-1536 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1537,b,Transit,1,5/10/2016,Kepler-1537 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1538,b,Transit,1,5/10/2016,Kepler-1538 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1539,b,Transit,1,5/10/2016,Kepler-1539 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-154,b,Transit,5,5/14/2014,Kepler-154 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1540,b,Transit,1,5/10/2016,Kepler-1540 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1541,b,Transit,1,5/10/2016,Kepler-1541 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1542,b,Transit,4,5/10/2016,Kepler-1542 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1543,b,Transit,1,5/10/2016,Kepler-1543 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1544,b,Transit,1,5/10/2016,Kepler-1544 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1545,b,Transit,1,5/10/2016,Kepler-1545 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1546,b,Transit,1,5/10/2016,Kepler-1546 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1547,b,Transit,1,5/10/2016,Kepler-1547 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1548,b,Transit,1,5/10/2016,Kepler-1548 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1549,b,Transit,1,5/10/2016,Kepler-1549 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-155,b,Transit,2,5/14/2014,Kepler-155 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1550,b,Transit,1,5/10/2016,Kepler-1550 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1551,b,Transit,1,5/10/2016,Kepler-1551 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1552,b,Transit,1,5/10/2016,Kepler-1552 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1553,b,Transit,1,5/10/2016,Kepler-1553 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1554,b,Transit,1,5/10/2016,Kepler-1554 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1555,b,Transit,1,5/10/2016,Kepler-1555 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1556,b,Transit,1,5/10/2016,Kepler-1556 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1557,b,Transit,1,5/10/2016,Kepler-1557 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1558,b,Transit,1,5/10/2016,Kepler-1558 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1559,b,Transit,1,5/10/2016,Kepler-1559 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-156,b,Transit,2,5/14/2014,Kepler-156 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1560,b,Transit,1,5/10/2016,Kepler-1560 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1561,b,Transit,1,5/10/2016,Kepler-1561 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1562,b,Transit,1,5/10/2016,Kepler-1562 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1563,b,Transit,1,5/10/2016,Kepler-1563 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1564,b,Transit,1,5/10/2016,Kepler-1564 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1565,b,Transit,1,5/10/2016,Kepler-1565 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1566,b,Transit,1,5/10/2016,Kepler-1566 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1567,b,Transit,1,5/10/2016,Kepler-1567 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1568,b,Transit,1,5/10/2016,Kepler-1568 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1569,b,Transit,1,5/10/2016,Kepler-1569 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-157,b,Transit,3,5/14/2014,Kepler-157 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1570,b,Transit,1,5/10/2016,Kepler-1570 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1571,b,Transit,1,5/10/2016,Kepler-1571 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1572,b,Transit,1,5/10/2016,Kepler-1572 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1573,b,Transit,1,5/10/2016,Kepler-1573 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1574,b,Transit,1,5/10/2016,Kepler-1574 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1575,b,Transit,1,5/10/2016,Kepler-1575 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1576,b,Transit,1,5/10/2016,Kepler-1576 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1577,b,Transit,1,5/10/2016,Kepler-1577 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1578,b,Transit,1,5/10/2016,Kepler-1578 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1579,b,Transit,1,5/10/2016,Kepler-1579 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-158,b,Transit,2,5/14/2014,Kepler-158 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1580,b,Transit,1,5/10/2016,Kepler-1580 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1581,b,Transit,1,5/10/2016,Kepler-1581 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1582,b,Transit,1,5/10/2016,Kepler-1582 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1583,b,Transit,1,5/10/2016,Kepler-1583 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1584,b,Transit,1,5/10/2016,Kepler-1584 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1585,b,Transit,1,5/10/2016,Kepler-1585 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1586,b,Transit,1,5/10/2016,Kepler-1586 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1587,b,Transit,1,5/10/2016,Kepler-1587 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1588,b,Transit,1,5/10/2016,Kepler-1588 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1589,b,Transit,1,5/10/2016,Kepler-1589 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-159,b,Transit,2,5/14/2014,Kepler-159 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1590,b,Transit,1,5/10/2016,Kepler-1590 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1591,b,Transit,1,5/10/2016,Kepler-1591 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1592,b,Transit,1,5/10/2016,Kepler-1592 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1593,b,Transit,1,5/10/2016,Kepler-1593 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1594,b,Transit,1,5/10/2016,Kepler-1594 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1595,b,Transit,1,5/10/2016,Kepler-1595 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1596,b,Transit,1,5/10/2016,Kepler-1596 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1597,b,Transit,1,5/10/2016,Kepler-1597 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1598,b,Transit,1,5/10/2016,Kepler-1598 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1599,b,Transit,1,5/10/2016,Kepler-1599 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-16,b,Transit,1,5/14/2014,Kepler-16 b,2011,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-160,b,Transit,2,5/14/2014,Kepler-160 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1600,b,Transit,1,5/10/2016,Kepler-1600 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1601,b,Transit,1,5/10/2016,Kepler-1601 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1602,b,Transit,1,5/10/2016,Kepler-1602 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1603,b,Transit,1,5/10/2016,Kepler-1603 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1604,b,Transit,1,5/10/2016,Kepler-1604 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1605,b,Transit,1,5/10/2016,Kepler-1605 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1606,b,Transit,1,5/10/2016,Kepler-1606 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1607,b,Transit,1,5/10/2016,Kepler-1607 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1608,b,Transit,1,5/10/2016,Kepler-1608 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1609,b,Transit,1,5/10/2016,Kepler-1609 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-161,b,Transit,2,5/14/2014,Kepler-161 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1610,b,Transit,1,5/10/2016,Kepler-1610 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1611,b,Transit,1,5/10/2016,Kepler-1611 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1612,b,Transit,1,5/10/2016,Kepler-1612 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1613,b,Transit,1,5/10/2016,Kepler-1613 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1614,b,Transit,1,5/10/2016,Kepler-1614 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1615,b,Transit,1,5/10/2016,Kepler-1615 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1616,b,Transit,1,5/10/2016,Kepler-1616 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1617,b,Transit,1,5/10/2016,Kepler-1617 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1618,b,Transit,1,5/10/2016,Kepler-1618 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1619,b,Transit,1,5/10/2016,Kepler-1619 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-162,b,Transit,2,5/14/2014,Kepler-162 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1620,b,Transit,1,5/10/2016,Kepler-1620 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1621,b,Transit,1,5/10/2016,Kepler-1621 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1622,b,Transit,1,5/10/2016,Kepler-1622 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
