HostName,PlanetLetter,DiscoveryMethod,PlanetInSS,Updated,PlanetName,DiscoveryYear,PlaceOfDiscovery,DiscoveryFacility,Telescope,Instrument,Status
CoRoT-17,b,Transit,1,5/14/2014,CoRoT-17 b,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-18,b,Transit,1,5/14/2014,CoRoT-18 b,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-19,b,Transit,1,5/14/2014,CoRoT-19 b,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-2,b,Transit,1,5/14/2014,CoRoT-2 b,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-20,b,Transit,1,5/14/2014,CoRoT-20 b,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-22,b,Transit,1,8/21/2014,CoRoT-22 b,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-23,b,Transit,1,5/14/2014,CoRoT-23 b,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-24,b,Transit,2,6/11/2014,CoRoT-24 b,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-25,b,Transit,1,5/14/2014,CoRoT-25 b,2013,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-26,b,Transit,1,5/14/2014,CoRoT-26 b,2013,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-27,b,Transit,1,5/14/2014,CoRoT-27 b,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-28,b,Transit,1,4/16/2015,CoRoT-28 b,2015,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-29,b,Transit,1,4/16/2015,CoRoT-29 b,2015,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-3,b,Transit,1,5/14/2014,CoRoT-3 b,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-4,b,Transit,1,5/14/2014,CoRoT-4 b,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-5,b,Transit,1,5/14/2014,CoRoT-5 b,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-6,b,Transit,1,5/14/2014,CoRoT-6 b,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-7,b,Transit,2,3/5/2015,CoRoT-7 b,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-8,b,Transit,1,5/14/2014,CoRoT-8 b,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-9,b,Transit,1,5/14/2014,CoRoT-9 b,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
CoRoT-24,c,Transit,2,6/11/2014,CoRoT-24 c,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3
GJ 1214,b,Transit,1,12/3/2015,GJ 1214 b,2009,Ground,MEarth Project,0.4 m MEarth Telescope,Apogee CCD Sensor,3
LHS 1140,b,Transit,1,4/27/2017,LHS 1140 b,2017,Ground,MEarth Project,0.4 m MEarth Telescope,Apogee CCD Sensor,3
91 Aqr,b,Radial Velocity,1,5/14/2014,91 Aqr b,2013,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,3
HD 50554,b,Radial Velocity,1,11/19/2014,HD 50554 b,2002,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,3
HIP 75458,b,Radial Velocity,1,7/23/2014,HIP 75458 b,2002,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,3
tau Gem,b,Radial Velocity,1,5/14/2014,tau Gem b,2013,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,3
TRAPPIST-1,b,Transit,7,2/22/2017,TRAPPIST-1 b,2016,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,3
TRAPPIST-1,c,Transit,7,2/22/2017,TRAPPIST-1 c,2016,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,3
TRAPPIST-1,d,Transit,7,2/22/2017,TRAPPIST-1 d,2016,Ground,La Silla Observatory,0.60 m Transiting Planets and Planetesimals Small Telescope,TRAPPISTCAM,3
FU Tau,b,Imaging,1,3/10/2016,FU Tau b,2008,Space,Spitzer Space Telescope,0.85 m Spitzer Space Telescope,IRAC Infrared Array Camera,3
HN Peg,b,Imaging,1,5/14/2014,HN Peg b,2006,Space,Spitzer Space Telescope,0.85 m Spitzer Space Telescope,IRAC Infrared Array Camera,3
WD 0806-661,b,Imaging,1,5/14/2014,WD 0806-661 b,2011,Space,Spitzer Space Telescope,0.85 m Spitzer Space Telescope,IRAC Infrared Array Camera,3
HD 102195,b,Radial Velocity,1,5/14/2014,HD 102195 b,2006,Ground,Kitt Peak National Observatory,0.9 m KPNO Coude Feed Telescope,Exoplanet Tracker Interferometer,3
K2-97,b,Transit,1,9/29/2016,K2-97 b,2016,Space,K2,0.95 m Kelper Telescope,Kepler CCD Array,3
K2-98,b,Transit,1,9/29/2016,K2-98 b,2016,Space,K2,0.95 m Kelper Telescope,Kepler CCD Array,3
2MASS J19383260+4603591,b,Eclipse Timing Variations,1,6/4/2015,2MASS J19383260+4603591 b,2015,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-76,b,Orbital Brightness Modulation,1,10/15/2015,Kepler-76 b,2013,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
KIC 10001893,b,Orbital Brightness Modulation,3,10/3/2014,KIC 10001893 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
KOI-55,b,Orbital Brightness Modulation,2,5/14/2014,KOI-55 b,2011,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
KIC 10001893,c,Orbital Brightness Modulation,3,10/3/2014,KIC 10001893 c,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
KOI-55,c,Orbital Brightness Modulation,2,5/14/2014,KOI-55 c,2011,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
KIC 10001893,d,Orbital Brightness Modulation,3,10/3/2014,KIC 10001893 d,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
KIC 7917485,b,Pulsation Timing Variations,1,8/18/2016,KIC 7917485 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
HIP 116454,b,Radial Velocity,1,12/19/2014,HIP 116454 b,2014,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-407,c,Radial Velocity,2,5/14/2014,Kepler-407 c,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-424,c,Radial Velocity,2,10/3/2014,Kepler-424 c,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-432,c,Radial Velocity,2,4/30/2015,Kepler-432 c,2015,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-93,c,Radial Velocity,2,5/14/2014,Kepler-93 c,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-94,c,Radial Velocity,2,5/14/2014,Kepler-94 c,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-97,c,Radial Velocity,2,5/14/2014,Kepler-97 c,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-25,d,Radial Velocity,3,5/14/2014,Kepler-25 d,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-68,d,Radial Velocity,3,10/27/2016,Kepler-68 d,2013,Space,kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-48,e,Radial Velocity,4,5/14/2014,Kepler-48 e,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
BD+20 594,b,Transit,1,7/28/2016,BD+20 594 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
EPIC 211822797,b,Transit,1,12/21/2016,EPIC 211822797 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
EPIC 220674823,b,Transit,2,1/26/2017,EPIC 220674823 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
HD 106315,b,Transit,2,3/2/2017,HD 106315 b,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
HD 3167,b,Transit,3,6/8/2017,HD 3167 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
HIP 41378,b,Transit,5,7/7/2016,HIP 41378 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-10,b,Transit,1,2/11/2016,K2-10 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-100,b,Transit,1,12/21/2016,K2-100 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-101,b,Transit,1,12/21/2016,K2-101 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-102,b,Transit,1,12/21/2016,K2-102 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-104,b,Transit,1,12/21/2016,K2-104 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-105,b,Transit,1,1/12/2017,K2-105 b,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-107,b,Transit,1,2/2/2017,K2-107 b,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-108,b,Transit,1,2/9/2017,K2-108 b,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-11,b,Transit,1,7/16/2015,K2-11 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-110,b,Transit,1,5/18/2017,K2-110 b,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-111,b,Transit,1,5/10/2017,K2-111 b,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-113,b,Transit,1,7/27/2017,K2-113 b,2017,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-12,b,Transit,1,7/16/2015,K2-12 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-13,b,Transit,1,7/16/2015,K2-13 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-14,b,Transit,1,7/16/2015,K2-14 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-15,b,Transit,1,7/16/2015,K2-15 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-16,b,Transit,2,7/7/2016,K2-16 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
